Rodada,Jogo,Time da Casa,Time Visitante
1,1,Goias,AthleticoPR
1,2,Cruzeiro,Fluminense
1,3,Fortaleza,Santos
1,4,Coritiba,America
1,5,Gremio,Internacional
1,6,Corinthians,AtleticoMG
1,7,Flamengo,Botafogo
1,8,Cuiaba,RBBragantino
1,9,Bahia,VascoDaGama
1,10,SaoPaulo,Palmeiras
2,1,Goias,Fluminense
2,2,AthleticoPR,Santos
2,3,Cruzeiro,America
2,4,Fortaleza,Internacional
2,5,Coritiba,AtleticoMG
2,6,Gremio,Botafogo
2,7,Corinthians,RBBragantino
2,8,Flamengo,VascoDaGama
2,9,Cuiaba,Palmeiras
2,10,Bahia,SaoPaulo
3,1,Goias,Santos
3,2,Fluminense,America
3,3,AthleticoPR,Internacional
3,4,Cruzeiro,AtleticoMG
3,5,Fortaleza,Botafogo
3,6,Coritiba,RBBragantino
3,7,Gremio,VascoDaGama
3,8,Corinthians,Palmeiras
3,9,Flamengo,SaoPaulo
3,10,Cuiaba,Bahia
4,1,Goias,America
4,2,Santos,Internacional
4,3,Fluminense,AtleticoMG
4,4,AthleticoPR,Botafogo
4,5,Cruzeiro,RBBragantino
4,6,Fortaleza,VascoDaGama
4,7,Coritiba,Palmeiras
4,8,Gremio,SaoPaulo
4,9,Corinthians,Bahia
4,10,Flamengo,Cuiaba
5,1,Goias,Internacional
5,2,America,AtleticoMG
5,3,Santos,Botafogo
5,4,Fluminense,RBBragantino
5,5,AthleticoPR,VascoDaGama
5,6,Cruzeiro,Palmeiras
5,7,Fortaleza,SaoPaulo
5,8,Coritiba,Bahia
5,9,Gremio,Cuiaba
5,10,Corinthians,Flamengo
6,1,Goias,AtleticoMG
6,2,Internacional,Botafogo
6,3,America,RBBragantino
6,4,Santos,VascoDaGama
6,5,Fluminense,Palmeiras
6,6,AthleticoPR,SaoPaulo
6,7,Cruzeiro,Bahia
6,8,Fortaleza,Cuiaba
6,9,Coritiba,Flamengo
6,10,Gremio,Corinthians
7,1,Goias,Botafogo
7,2,AtleticoMG,RBBragantino
7,3,Internacional,VascoDaGama
7,4,America,Palmeiras
7,5,Santos,SaoPaulo
7,6,Fluminense,Bahia
7,7,AthleticoPR,Cuiaba
7,8,Cruzeiro,Flamengo
7,9,Fortaleza,Corinthians
7,10,Coritiba,Gremio
8,1,Goias,RBBragantino
8,2,Botafogo,VascoDaGama
8,3,AtleticoMG,Palmeiras
8,4,Internacional,SaoPaulo
8,5,America,Bahia
8,6,Santos,Cuiaba
8,7,Fluminense,Flamengo
8,8,AthleticoPR,Corinthians
8,9,Cruzeiro,Gremio
8,10,Fortaleza,Coritiba
9,1,Goias,VascoDaGama
9,2,RBBragantino,Palmeiras
9,3,Botafogo,SaoPaulo
9,4,AtleticoMG,Bahia
9,5,Internacional,Cuiaba
9,6,America,Flamengo
9,7,Santos,Corinthians
9,8,Fluminense,Gremio
9,9,AthleticoPR,Coritiba
9,10,Cruzeiro,Fortaleza
10,1,Goias,Palmeiras
10,2,VascoDaGama,SaoPaulo
10,3,RBBragantino,Bahia
10,4,Botafogo,Cuiaba
10,5,AtleticoMG,Flamengo
10,6,Internacional,Corinthians
10,7,America,Gremio
10,8,Santos,Coritiba
10,9,Fluminense,Fortaleza
10,10,AthleticoPR,Cruzeiro
11,1,Goias,SaoPaulo
11,2,Palmeiras,Bahia
11,3,VascoDaGama,Cuiaba
11,4,RBBragantino,Flamengo
11,5,Botafogo,Corinthians
11,6,AtleticoMG,Gremio
11,7,Internacional,Coritiba
11,8,America,Fortaleza
11,9,Santos,Cruzeiro
11,10,Fluminense,AthleticoPR
12,1,Goias,Bahia
12,2,SaoPaulo,Cuiaba
12,3,Palmeiras,Flamengo
12,4,VascoDaGama,Corinthians
12,5,RBBragantino,Gremio
12,6,Botafogo,Coritiba
12,7,AtleticoMG,Fortaleza
12,8,Internacional,Cruzeiro
12,9,America,AthleticoPR
12,10,Santos,Fluminense
13,1,Goias,Cuiaba
13,2,Bahia,Flamengo
13,3,SaoPaulo,Corinthians
13,4,Palmeiras,Gremio
13,5,VascoDaGama,Coritiba
13,6,RBBragantino,Fortaleza
13,7,Botafogo,Cruzeiro
13,8,AtleticoMG,AthleticoPR
13,9,Internacional,Fluminense
13,10,America,Santos
14,1,Goias,Flamengo
14,2,Cuiaba,Corinthians
14,3,Bahia,Gremio
14,4,SaoPaulo,Coritiba
14,5,Palmeiras,Fortaleza
14,6,VascoDaGama,Cruzeiro
14,7,RBBragantino,AthleticoPR
14,8,Botafogo,Fluminense
14,9,AtleticoMG,Santos
14,10,Internacional,America
15,1,Goias,Corinthians
15,2,Flamengo,Gremio
15,3,Cuiaba,Coritiba
15,4,Bahia,Fortaleza
15,5,SaoPaulo,Cruzeiro
15,6,Palmeiras,AthleticoPR
15,7,VascoDaGama,Fluminense
15,8,RBBragantino,Santos
15,9,Botafogo,America
15,10,AtleticoMG,Internacional
16,1,Goias,Gremio
16,2,Corinthians,Coritiba
16,3,Flamengo,Fortaleza
16,4,Cuiaba,Cruzeiro
16,5,Bahia,AthleticoPR
16,6,SaoPaulo,Fluminense
16,7,Palmeiras,Santos
16,8,VascoDaGama,America
16,9,RBBragantino,Internacional
16,10,Botafogo,AtleticoMG
17,1,Goias,Coritiba
17,2,Gremio,Fortaleza
17,3,Corinthians,Cruzeiro
17,4,Flamengo,AthleticoPR
17,5,Cuiaba,Fluminense
17,6,Bahia,Santos
17,7,SaoPaulo,America
17,8,Palmeiras,Internacional
17,9,VascoDaGama,AtleticoMG
17,10,RBBragantino,Botafogo
18,1,Goias,Fortaleza
18,2,Coritiba,Cruzeiro
18,3,Gremio,AthleticoPR
18,4,Corinthians,Fluminense
18,5,Flamengo,Santos
18,6,Cuiaba,America
18,7,Bahia,Internacional
18,8,SaoPaulo,AtleticoMG
18,9,Palmeiras,Botafogo
18,10,VascoDaGama,RBBragantino
19,1,Goias,Cruzeiro
19,2,Fortaleza,AthleticoPR
19,3,Coritiba,Fluminense
