Rodada,Jogo,Time da Casa,Time Visitante
1,1,AtleticoMG,Bahia
1,2,Fortaleza,Cuiaba
1,3,Fluminense,AthleticoPR
1,4,Internacional,Palmeiras
1,5,Gremio,Corinthians
1,6,VascoDaGama,Cruzeiro
1,7,RBBragantino,Goias
1,8,Flamengo,SaoPaulo
1,9,America,Coritiba
1,10,Botafogo,Santos
2,1,AtleticoMG,Cuiaba
2,2,Bahia,AthleticoPR
2,3,Fortaleza,Palmeiras
2,4,Fluminense,Corinthians
2,5,Internacional,Cruzeiro
2,6,Gremio,Goias
2,7,VascoDaGama,SaoPaulo
2,8,RBBragantino,Coritiba
2,9,Flamengo,Santos
2,10,America,Botafogo
3,1,AtleticoMG,AthleticoPR
3,2,Cuiaba,Palmeiras
3,3,Bahia,Corinthians
3,4,Fortaleza,Cruzeiro
3,5,Fluminense,Goias
3,6,Internacional,SaoPaulo
3,7,Gremio,Coritiba
3,8,VascoDaGama,Santos
3,9,RBBragantino,Botafogo
3,10,Flamengo,America
4,1,AtleticoMG,Palmeiras
4,2,AthleticoPR,Corinthians
4,3,Cuiaba,Cruzeiro
4,4,Bahia,Goias
4,5,Fortaleza,SaoPaulo
4,6,Fluminense,Coritiba
4,7,Internacional,Santos
4,8,Gremio,Botafogo
4,9,VascoDaGama,America
4,10,RBBragantino,Flamengo
5,1,AtleticoMG,Corinthians
5,2,Palmeiras,Cruzeiro
5,3,AthleticoPR,Goias
5,4,Cuiaba,SaoPaulo
5,5,Bahia,Coritiba
5,6,Fortaleza,Santos
5,7,Fluminense,Botafogo
5,8,Internacional,America
5,9,Gremio,Flamengo
5,10,VascoDaGama,RBBragantino
6,1,AtleticoMG,Cruzeiro
6,2,Corinthians,Goias
6,3,Palmeiras,SaoPaulo
6,4,AthleticoPR,Coritiba
6,5,Cuiaba,Santos
6,6,Bahia,Botafogo
6,7,Fortaleza,America
6,8,Fluminense,Flamengo
6,9,Internacional,RBBragantino
6,10,Gremio,VascoDaGama
7,1,AtleticoMG,Goias
7,2,Cruzeiro,SaoPaulo
7,3,Corinthians,Coritiba
7,4,Palmeiras,Santos
7,5,AthleticoPR,Botafogo
7,6,Cuiaba,America
7,7,Bahia,Flamengo
7,8,Fortaleza,RBBragantino
7,9,Fluminense,VascoDaGama
7,10,Internacional,Gremio
8,1,AtleticoMG,SaoPaulo
8,2,Goias,Coritiba
8,3,Cruzeiro,Santos
8,4,Corinthians,Botafogo
8,5,Palmeiras,America
8,6,AthleticoPR,Flamengo
8,7,Cuiaba,RBBragantino
8,8,Bahia,VascoDaGama
8,9,Fortaleza,Gremio
8,10,Fluminense,Internacional
9,1,AtleticoMG,Coritiba
9,2,SaoPaulo,Santos
9,3,Goias,Botafogo
9,4,Cruzeiro,America
9,5,Corinthians,Flamengo
9,6,Palmeiras,RBBragantino
9,7,AthleticoPR,VascoDaGama
9,8,Cuiaba,Gremio
9,9,Bahia,Internacional
9,10,Fortaleza,Fluminense
10,1,AtleticoMG,Santos
10,2,Coritiba,Botafogo
10,3,SaoPaulo,America
10,4,Goias,Flamengo
10,5,Cruzeiro,RBBragantino
10,6,Corinthians,VascoDaGama
10,7,Palmeiras,Gremio
10,8,AthleticoPR,Internacional
10,9,Cuiaba,Fluminense
10,10,Bahia,Fortaleza
11,1,AtleticoMG,Botafogo
11,2,Santos,America
11,3,Coritiba,Flamengo
11,4,SaoPaulo,RBBragantino
11,5,Goias,VascoDaGama
11,6,Cruzeiro,Gremio
11,7,Corinthians,Internacional
11,8,Palmeiras,Fluminense
11,9,AthleticoPR,Fortaleza
11,10,Cuiaba,Bahia
12,1,AtleticoMG,America
